
OPENMP DISPLAY ENVIRONMENT BEGIN
   _OPENMP='201611'
  [host] OMP_CANCELLATION='FALSE'
  [host] OMP_DEFAULT_DEVICE='0'
  [host] OMP_DISPLAY_ENV='TRUE'
  [host] OMP_DYNAMIC='FALSE'
  [host] OMP_MAX_ACTIVE_LEVELS='2147483647'
  [host] OMP_MAX_TASK_PRIORITY='0'
  [host] OMP_NESTED='FALSE'
  [host] OMP_NUM_THREADS='1'
  [host] OMP_PLACES='cores'
  [host] OMP_PROC_BIND='close'
  [host] OMP_SCHEDULE='static'
  [host] OMP_STACKSIZE='8M'
   OMP_TARGET_OFFLOAD=DEFAULT
  [host] OMP_THREAD_LIMIT='2147483647'
  [host] OMP_TOOL_LIBRARIES: value is not defined
  [host] OMP_WAIT_POLICY='ACTIVE'
OPENMP DISPLAY ENVIRONMENT END


mtxfile_read: 14.904441 seconds (27.1 MB/s)
csr_from_coo: 0.502716 seconds, 343791 rows, 343791 columns, 26837113 nonzeros, 24 to 435 nonzeros per row, 1 threads, 343791 to 343791 rows per thread, 26837113 to 26837113 nonzeros per thread
[PAPI util] using event file: share/papi_util_a64fx_memdp.txt
enabling sector cache (2 L2 ways)
gemv (warmup): 0.025263 seconds (0.538 Gnz/s, 2.125 Gflop/s, 13.1 to 21.5 GB/s)
gemv (warmup): 0.024774 seconds (0.549 Gnz/s, 2.167 Gflop/s, 13.3 to 21.9 GB/s)
gemv (warmup): 0.024769 seconds (0.549 Gnz/s, 2.167 Gflop/s, 13.3 to 21.9 GB/s)
[PAPI util] start recording events for region "gemv"
gemv: 0.024822 seconds (0.548 Gnz/s, 2.162 Gflop/s, 13.3 to 21.8 GB/s)
gemv: 0.024812 seconds (0.548 Gnz/s, 2.163 Gflop/s, 13.3 to 21.9 GB/s)
gemv: 0.024796 seconds (0.548 Gnz/s, 2.165 Gflop/s, 13.3 to 21.9 GB/s)
gemv: 0.024799 seconds (0.548 Gnz/s, 2.164 Gflop/s, 13.3 to 21.9 GB/s)
gemv: 0.024812 seconds (0.548 Gnz/s, 2.163 Gflop/s, 13.3 to 21.9 GB/s)
gemv: 0.024874 seconds (0.546 Gnz/s, 2.158 Gflop/s, 13.3 to 21.8 GB/s)
gemv: 0.024795 seconds (0.548 Gnz/s, 2.165 Gflop/s, 13.3 to 21.9 GB/s)
gemv: 0.024817 seconds (0.548 Gnz/s, 2.163 Gflop/s, 13.3 to 21.8 GB/s)
gemv: 0.024820 seconds (0.548 Gnz/s, 2.163 Gflop/s, 13.3 to 21.8 GB/s)
