
OPENMP DISPLAY ENVIRONMENT BEGIN
   _OPENMP='201611'
  [host] OMP_CANCELLATION='FALSE'
  [host] OMP_DEFAULT_DEVICE='0'
  [host] OMP_DISPLAY_ENV='TRUE'
  [host] OMP_DYNAMIC='FALSE'
  [host] OMP_MAX_ACTIVE_LEVELS='2147483647'
  [host] OMP_MAX_TASK_PRIORITY='0'
  [host] OMP_NESTED='FALSE'
  [host] OMP_NUM_THREADS='1'
  [host] OMP_PLACES='cores'
  [host] OMP_PROC_BIND='close'
  [host] OMP_SCHEDULE='static'
  [host] OMP_STACKSIZE='8M'
   OMP_TARGET_OFFLOAD=DEFAULT
  [host] OMP_THREAD_LIMIT='2147483647'
  [host] OMP_TOOL_LIBRARIES: value is not defined
  [host] OMP_WAIT_POLICY='ACTIVE'
OPENMP DISPLAY ENVIRONMENT END


mtxfile_read: 6.423478 seconds (23.1 MB/s)
csr_from_coo: 0.254676 seconds, 63838 rows, 63838 columns, 14148858 nonzeros, 48 to 3423 nonzeros per row, 1 threads, 63838 to 63838 rows per thread, 14148858 to 14148858 nonzeros per thread
[PAPI util] using event file: share/papi_util_a64fx_memdp.txt
enabling sector cache (7 L2 ways)
gemv (warmup): 0.007934 seconds (0.896 Gnz/s, 3.567 Gflop/s, 21.6 to 35.8 GB/s)
gemv (warmup): 0.007774 seconds (0.914 Gnz/s, 3.640 Gflop/s, 22.0 to 36.5 GB/s)
gemv (warmup): 0.007728 seconds (0.920 Gnz/s, 3.662 Gflop/s, 22.2 to 36.7 GB/s)
[PAPI util] start recording events for region "gemv"
gemv: 0.007805 seconds (0.911 Gnz/s, 3.626 Gflop/s, 22.0 to 36.4 GB/s)
gemv: 0.007835 seconds (0.907 Gnz/s, 3.612 Gflop/s, 21.9 to 36.2 GB/s)
gemv: 0.007739 seconds (0.918 Gnz/s, 3.657 Gflop/s, 22.1 to 36.7 GB/s)
gemv: 0.007806 seconds (0.910 Gnz/s, 3.625 Gflop/s, 21.9 to 36.4 GB/s)
gemv: 0.007755 seconds (0.916 Gnz/s, 3.649 Gflop/s, 22.1 to 36.6 GB/s)
gemv: 0.007800 seconds (0.911 Gnz/s, 3.628 Gflop/s, 22.0 to 36.4 GB/s)
gemv: 0.007776 seconds (0.914 Gnz/s, 3.639 Gflop/s, 22.0 to 36.5 GB/s)
gemv: 0.007795 seconds (0.912 Gnz/s, 3.630 Gflop/s, 22.0 to 36.4 GB/s)
gemv: 0.007835 seconds (0.907 Gnz/s, 3.612 Gflop/s, 21.9 to 36.2 GB/s)
gemv: 0.007768 seconds (0.915 Gnz/s, 3.643 Gflop/s, 22.1 to 36.6 GB/s)
gemv: 0.007778 seconds (0.914 Gnz/s, 3.638 Gflop/s, 22.0 to 36.5 GB/s)
gemv: 0.007737 seconds (0.918 Gnz/s, 3.657 Gflop/s, 22.1 to 36.7 GB/s)
