
OPENMP DISPLAY ENVIRONMENT BEGIN
   _OPENMP='201611'
  [host] OMP_CANCELLATION='FALSE'
  [host] OMP_DEFAULT_DEVICE='0'
  [host] OMP_DISPLAY_ENV='TRUE'
  [host] OMP_DYNAMIC='FALSE'
  [host] OMP_MAX_ACTIVE_LEVELS='2147483647'
  [host] OMP_MAX_TASK_PRIORITY='0'
  [host] OMP_NESTED='FALSE'
  [host] OMP_NUM_THREADS='1'
  [host] OMP_PLACES='cores'
  [host] OMP_PROC_BIND='close'
  [host] OMP_SCHEDULE='static'
  [host] OMP_STACKSIZE='8M'
   OMP_TARGET_OFFLOAD=DEFAULT
  [host] OMP_THREAD_LIMIT='2147483647'
  [host] OMP_TOOL_LIBRARIES: value is not defined
  [host] OMP_WAIT_POLICY='ACTIVE'
OPENMP DISPLAY ENVIRONMENT END


mtxfile_read: 2.628137 seconds (26.5 MB/s)
csr_from_coo: 0.087472 seconds, 259789 rows, 259789 columns, 4242673 nonzeros, 5 to 31 nonzeros per row, 1 threads, 259789 to 259789 rows per thread, 4242673 to 4242673 nonzeros per thread
[PAPI util] using event file: share/papi_util_a64fx_memdp.txt
enabling sector cache (2 L2 ways)
gemv (warmup): 0.018457 seconds (0.122 Gnz/s, 0.460 Gflop/s, 3.1 to 4.8 GB/s)
gemv (warmup): 0.017845 seconds (0.126 Gnz/s, 0.476 Gflop/s, 3.2 to 5.0 GB/s)
gemv (warmup): 0.017853 seconds (0.126 Gnz/s, 0.475 Gflop/s, 3.2 to 5.0 GB/s)
[PAPI util] start recording events for region "gemv"
gemv: 0.017906 seconds (0.126 Gnz/s, 0.474 Gflop/s, 3.2 to 5.0 GB/s)
gemv: 0.017882 seconds (0.126 Gnz/s, 0.475 Gflop/s, 3.2 to 5.0 GB/s)
gemv: 0.017863 seconds (0.126 Gnz/s, 0.475 Gflop/s, 3.2 to 5.0 GB/s)
gemv: 0.017882 seconds (0.126 Gnz/s, 0.475 Gflop/s, 3.2 to 5.0 GB/s)
gemv: 0.017884 seconds (0.126 Gnz/s, 0.474 Gflop/s, 3.2 to 5.0 GB/s)
gemv: 0.017881 seconds (0.126 Gnz/s, 0.475 Gflop/s, 3.2 to 5.0 GB/s)
gemv: 0.017871 seconds (0.126 Gnz/s, 0.475 Gflop/s, 3.2 to 5.0 GB/s)
gemv: 0.017864 seconds (0.126 Gnz/s, 0.475 Gflop/s, 3.2 to 5.0 GB/s)
gemv: 0.017877 seconds (0.126 Gnz/s, 0.475 Gflop/s, 3.2 to 5.0 GB/s)
gemv: 0.017879 seconds (0.126 Gnz/s, 0.475 Gflop/s, 3.2 to 5.0 GB/s)
gemv: 0.017872 seconds (0.126 Gnz/s, 0.475 Gflop/s, 3.2 to 5.0 GB/s)
gemv: 0.017874 seconds (0.126 Gnz/s, 0.475 Gflop/s, 3.2 to 5.0 GB/s)
gemv: 0.017889 seconds (0.126 Gnz/s, 0.474 Gflop/s, 3.2 to 5.0 GB/s)
gemv: 0.017920 seconds (0.126 Gnz/s, 0.474 Gflop/s, 3.2 to 5.0 GB/s)
gemv: 0.017916 seconds (0.126 Gnz/s, 0.474 Gflop/s, 3.2 to 5.0 GB/s)
gemv: 0.017921 seconds (0.126 Gnz/s, 0.473 Gflop/s, 3.2 to 5.0 GB/s)
gemv: 0.017913 seconds (0.126 Gnz/s, 0.474 Gflop/s, 3.2 to 5.0 GB/s)
gemv: 0.017901 seconds (0.126 Gnz/s, 0.474 Gflop/s, 3.2 to 5.0 GB/s)
gemv: 0.017915 seconds (0.126 Gnz/s, 0.474 Gflop/s, 3.2 to 5.0 GB/s)
gemv: 0.017912 seconds (0.126 Gnz/s, 0.474 Gflop/s, 3.2 to 5.0 GB/s)
gemv: 0.017936 seconds (0.126 Gnz/s, 0.473 Gflop/s, 3.2 to 5.0 GB/s)
gemv: 0.017942 seconds (0.125 Gnz/s, 0.473 Gflop/s, 3.2 to 5.0 GB/s)
gemv: 0.017932 seconds (0.126 Gnz/s, 0.473 Gflop/s, 3.2 to 5.0 GB/s)
gemv: 0.017945 seconds (0.125 Gnz/s, 0.473 Gflop/s, 3.2 to 5.0 GB/s)
gemv: 0.017938 seconds (0.126 Gnz/s, 0.473 Gflop/s, 3.2 to 5.0 GB/s)
gemv: 0.017940 seconds (0.125 Gnz/s, 0.473 Gflop/s, 3.2 to 5.0 GB/s)
gemv: 0.017940 seconds (0.125 Gnz/s, 0.473 Gflop/s, 3.2 to 5.0 GB/s)
gemv: 0.017938 seconds (0.125 Gnz/s, 0.473 Gflop/s, 3.2 to 5.0 GB/s)
gemv: 0.017950 seconds (0.125 Gnz/s, 0.473 Gflop/s, 3.2 to 5.0 GB/s)
gemv: 0.017935 seconds (0.126 Gnz/s, 0.473 Gflop/s, 3.2 to 5.0 GB/s)
gemv: 0.017947 seconds (0.125 Gnz/s, 0.473 Gflop/s, 3.2 to 5.0 GB/s)
gemv: 0.017939 seconds (0.125 Gnz/s, 0.473 Gflop/s, 3.2 to 5.0 GB/s)
gemv: 0.017936 seconds (0.126 Gnz/s, 0.473 Gflop/s, 3.2 to 5.0 GB/s)
gemv: 0.017944 seconds (0.125 Gnz/s, 0.473 Gflop/s, 3.2 to 5.0 GB/s)
gemv: 0.017947 seconds (0.125 Gnz/s, 0.473 Gflop/s, 3.2 to 5.0 GB/s)
gemv: 0.017942 seconds (0.125 Gnz/s, 0.473 Gflop/s, 3.2 to 5.0 GB/s)
gemv: 0.017936 seconds (0.126 Gnz/s, 0.473 Gflop/s, 3.2 to 5.0 GB/s)
gemv: 0.017935 seconds (0.126 Gnz/s, 0.473 Gflop/s, 3.2 to 5.0 GB/s)
gemv: 0.017930 seconds (0.126 Gnz/s, 0.473 Gflop/s, 3.2 to 5.0 GB/s)
gemv: 0.017946 seconds (0.125 Gnz/s, 0.473 Gflop/s, 3.2 to 5.0 GB/s)
gemv: 0.017943 seconds (0.125 Gnz/s, 0.473 Gflop/s, 3.2 to 5.0 GB/s)
gemv: 0.017946 seconds (0.125 Gnz/s, 0.473 Gflop/s, 3.2 to 5.0 GB/s)
gemv: 0.017943 seconds (0.125 Gnz/s, 0.473 Gflop/s, 3.2 to 5.0 GB/s)
gemv: 0.017931 seconds (0.126 Gnz/s, 0.473 Gflop/s, 3.2 to 5.0 GB/s)
gemv: 0.017943 seconds (0.125 Gnz/s, 0.473 Gflop/s, 3.2 to 5.0 GB/s)
gemv: 0.017944 seconds (0.125 Gnz/s, 0.473 Gflop/s, 3.2 to 5.0 GB/s)
gemv: 0.017949 seconds (0.125 Gnz/s, 0.473 Gflop/s, 3.2 to 5.0 GB/s)
gemv: 0.017942 seconds (0.125 Gnz/s, 0.473 Gflop/s, 3.2 to 5.0 GB/s)
gemv: 0.017921 seconds (0.126 Gnz/s, 0.473 Gflop/s, 3.2 to 5.0 GB/s)
gemv: 0.017938 seconds (0.125 Gnz/s, 0.473 Gflop/s, 3.2 to 5.0 GB/s)
gemv: 0.017940 seconds (0.125 Gnz/s, 0.473 Gflop/s, 3.2 to 5.0 GB/s)
gemv: 0.017940 seconds (0.125 Gnz/s, 0.473 Gflop/s, 3.2 to 5.0 GB/s)
gemv: 0.017941 seconds (0.125 Gnz/s, 0.473 Gflop/s, 3.2 to 5.0 GB/s)
gemv: 0.017934 seconds (0.126 Gnz/s, 0.473 Gflop/s, 3.2 to 5.0 GB/s)
gemv: 0.017959 seconds (0.125 Gnz/s, 0.472 Gflop/s, 3.2 to 5.0 GB/s)
gemv: 0.017944 seconds (0.125 Gnz/s, 0.473 Gflop/s, 3.2 to 5.0 GB/s)
gemv: 0.017938 seconds (0.125 Gnz/s, 0.473 Gflop/s, 3.2 to 5.0 GB/s)
gemv: 0.017943 seconds (0.125 Gnz/s, 0.473 Gflop/s, 3.2 to 5.0 GB/s)
gemv: 0.017942 seconds (0.125 Gnz/s, 0.473 Gflop/s, 3.2 to 5.0 GB/s)
gemv: 0.017940 seconds (0.125 Gnz/s, 0.473 Gflop/s, 3.2 to 5.0 GB/s)
gemv: 0.017941 seconds (0.125 Gnz/s, 0.473 Gflop/s, 3.2 to 5.0 GB/s)
gemv: 0.017947 seconds (0.125 Gnz/s, 0.473 Gflop/s, 3.2 to 5.0 GB/s)
gemv: 0.017943 seconds (0.125 Gnz/s, 0.473 Gflop/s, 3.2 to 5.0 GB/s)
gemv: 0.017945 seconds (0.125 Gnz/s, 0.473 Gflop/s, 3.2 to 5.0 GB/s)
gemv: 0.017943 seconds (0.125 Gnz/s, 0.473 Gflop/s, 3.2 to 5.0 GB/s)
gemv: 0.017954 seconds (0.125 Gnz/s, 0.473 Gflop/s, 3.2 to 5.0 GB/s)
gemv: 0.017948 seconds (0.125 Gnz/s, 0.473 Gflop/s, 3.2 to 5.0 GB/s)
gemv: 0.017944 seconds (0.125 Gnz/s, 0.473 Gflop/s, 3.2 to 5.0 GB/s)
gemv: 0.017951 seconds (0.125 Gnz/s, 0.473 Gflop/s, 3.2 to 5.0 GB/s)
gemv: 0.017937 seconds (0.126 Gnz/s, 0.473 Gflop/s, 3.2 to 5.0 GB/s)
gemv: 0.017948 seconds (0.125 Gnz/s, 0.473 Gflop/s, 3.2 to 5.0 GB/s)
gemv: 0.017935 seconds (0.126 Gnz/s, 0.473 Gflop/s, 3.2 to 5.0 GB/s)
