
OPENMP DISPLAY ENVIRONMENT BEGIN
   _OPENMP='201611'
  [host] OMP_CANCELLATION='FALSE'
  [host] OMP_DEFAULT_DEVICE='0'
  [host] OMP_DISPLAY_ENV='TRUE'
  [host] OMP_DYNAMIC='FALSE'
  [host] OMP_MAX_ACTIVE_LEVELS='2147483647'
  [host] OMP_MAX_TASK_PRIORITY='0'
  [host] OMP_NESTED='FALSE'
  [host] OMP_NUM_THREADS='1'
  [host] OMP_PLACES='cores'
  [host] OMP_PROC_BIND='close'
  [host] OMP_SCHEDULE='static'
  [host] OMP_STACKSIZE='8M'
   OMP_TARGET_OFFLOAD=DEFAULT
  [host] OMP_THREAD_LIMIT='2147483647'
  [host] OMP_TOOL_LIBRARIES: value is not defined
  [host] OMP_WAIT_POLICY='ACTIVE'
OPENMP DISPLAY ENVIRONMENT END


mtxfile_read: 0.557079 seconds (24.9 MB/s)
csr_from_coo: 0.077946 seconds, 268495 rows, 268495 columns, 2313294 nonzeros, 1 to 1318 nonzeros per row, 1 threads, 268495 to 268495 rows per thread, 2313294 to 2313294 nonzeros per thread
[PAPI util] using event file: share/papi_util_a64fx_memdp.txt
enabling sector cache (11 L2 ways)
gemv (warmup): 0.023868 seconds (0.048 Gnz/s, 0.194 Gflop/s, 1.4 to 2.1 GB/s)
gemv (warmup): 0.024773 seconds (0.047 Gnz/s, 0.187 Gflop/s, 1.4 to 2.0 GB/s)
gemv (warmup): 0.025068 seconds (0.046 Gnz/s, 0.185 Gflop/s, 1.4 to 2.0 GB/s)
[PAPI util] start recording events for region "gemv"
gemv: 0.025100 seconds (0.046 Gnz/s, 0.184 Gflop/s, 1.4 to 2.0 GB/s)
gemv: 0.025372 seconds (0.046 Gnz/s, 0.182 Gflop/s, 1.3 to 2.0 GB/s)
gemv: 0.025528 seconds (0.045 Gnz/s, 0.181 Gflop/s, 1.3 to 2.0 GB/s)
gemv: 0.026094 seconds (0.044 Gnz/s, 0.177 Gflop/s, 1.3 to 1.9 GB/s)
gemv: 0.025940 seconds (0.045 Gnz/s, 0.178 Gflop/s, 1.3 to 1.9 GB/s)
gemv: 0.026027 seconds (0.044 Gnz/s, 0.178 Gflop/s, 1.3 to 1.9 GB/s)
gemv: 0.026225 seconds (0.044 Gnz/s, 0.176 Gflop/s, 1.3 to 1.9 GB/s)
gemv: 0.025926 seconds (0.045 Gnz/s, 0.178 Gflop/s, 1.3 to 2.0 GB/s)
gemv: 0.026727 seconds (0.043 Gnz/s, 0.173 Gflop/s, 1.3 to 1.9 GB/s)
gemv: 0.027031 seconds (0.043 Gnz/s, 0.171 Gflop/s, 1.3 to 1.9 GB/s)
gemv: 0.026801 seconds (0.043 Gnz/s, 0.173 Gflop/s, 1.3 to 1.9 GB/s)
gemv: 0.026943 seconds (0.043 Gnz/s, 0.172 Gflop/s, 1.3 to 1.9 GB/s)
gemv: 0.027005 seconds (0.043 Gnz/s, 0.171 Gflop/s, 1.3 to 1.9 GB/s)
gemv: 0.026796 seconds (0.043 Gnz/s, 0.173 Gflop/s, 1.3 to 1.9 GB/s)
gemv: 0.027009 seconds (0.043 Gnz/s, 0.171 Gflop/s, 1.3 to 1.9 GB/s)
gemv: 0.027055 seconds (0.043 Gnz/s, 0.171 Gflop/s, 1.3 to 1.9 GB/s)
gemv: 0.026826 seconds (0.043 Gnz/s, 0.172 Gflop/s, 1.3 to 1.9 GB/s)
gemv: 0.026991 seconds (0.043 Gnz/s, 0.171 Gflop/s, 1.3 to 1.9 GB/s)
gemv: 0.027065 seconds (0.043 Gnz/s, 0.171 Gflop/s, 1.3 to 1.9 GB/s)
gemv: 0.027096 seconds (0.043 Gnz/s, 0.171 Gflop/s, 1.3 to 1.9 GB/s)
gemv: 0.026900 seconds (0.043 Gnz/s, 0.172 Gflop/s, 1.3 to 1.9 GB/s)
gemv: 0.026854 seconds (0.043 Gnz/s, 0.172 Gflop/s, 1.3 to 1.9 GB/s)
gemv: 0.027062 seconds (0.043 Gnz/s, 0.171 Gflop/s, 1.3 to 1.9 GB/s)
gemv: 0.026952 seconds (0.043 Gnz/s, 0.172 Gflop/s, 1.3 to 1.9 GB/s)
gemv: 0.026952 seconds (0.043 Gnz/s, 0.172 Gflop/s, 1.3 to 1.9 GB/s)
gemv: 0.027137 seconds (0.043 Gnz/s, 0.170 Gflop/s, 1.3 to 1.9 GB/s)
gemv: 0.027062 seconds (0.043 Gnz/s, 0.171 Gflop/s, 1.3 to 1.9 GB/s)
gemv: 0.026988 seconds (0.043 Gnz/s, 0.171 Gflop/s, 1.3 to 1.9 GB/s)
gemv: 0.027064 seconds (0.043 Gnz/s, 0.171 Gflop/s, 1.3 to 1.9 GB/s)
gemv: 0.027176 seconds (0.043 Gnz/s, 0.170 Gflop/s, 1.3 to 1.9 GB/s)
gemv: 0.026972 seconds (0.043 Gnz/s, 0.172 Gflop/s, 1.3 to 1.9 GB/s)
gemv: 0.026947 seconds (0.043 Gnz/s, 0.172 Gflop/s, 1.3 to 1.9 GB/s)
gemv: 0.027136 seconds (0.043 Gnz/s, 0.170 Gflop/s, 1.3 to 1.9 GB/s)
gemv: 0.027247 seconds (0.042 Gnz/s, 0.170 Gflop/s, 1.3 to 1.9 GB/s)
gemv: 0.027036 seconds (0.043 Gnz/s, 0.171 Gflop/s, 1.3 to 1.9 GB/s)
gemv: 0.027152 seconds (0.043 Gnz/s, 0.170 Gflop/s, 1.3 to 1.9 GB/s)
gemv: 0.027327 seconds (0.042 Gnz/s, 0.169 Gflop/s, 1.3 to 1.9 GB/s)
gemv: 0.027306 seconds (0.042 Gnz/s, 0.169 Gflop/s, 1.3 to 1.9 GB/s)
gemv: 0.027106 seconds (0.043 Gnz/s, 0.171 Gflop/s, 1.3 to 1.9 GB/s)
gemv: 0.027215 seconds (0.043 Gnz/s, 0.170 Gflop/s, 1.3 to 1.9 GB/s)
gemv: 0.027251 seconds (0.042 Gnz/s, 0.170 Gflop/s, 1.3 to 1.9 GB/s)
gemv: 0.027203 seconds (0.043 Gnz/s, 0.170 Gflop/s, 1.3 to 1.9 GB/s)
gemv: 0.027148 seconds (0.043 Gnz/s, 0.170 Gflop/s, 1.3 to 1.9 GB/s)
gemv: 0.027108 seconds (0.043 Gnz/s, 0.171 Gflop/s, 1.3 to 1.9 GB/s)
gemv: 0.027296 seconds (0.042 Gnz/s, 0.169 Gflop/s, 1.3 to 1.9 GB/s)
gemv: 0.026998 seconds (0.043 Gnz/s, 0.171 Gflop/s, 1.3 to 1.9 GB/s)
gemv: 0.027203 seconds (0.043 Gnz/s, 0.170 Gflop/s, 1.3 to 1.9 GB/s)
gemv: 0.027279 seconds (0.042 Gnz/s, 0.170 Gflop/s, 1.3 to 1.9 GB/s)
gemv: 0.027277 seconds (0.042 Gnz/s, 0.170 Gflop/s, 1.3 to 1.9 GB/s)
gemv: 0.027041 seconds (0.043 Gnz/s, 0.171 Gflop/s, 1.3 to 1.9 GB/s)
gemv: 0.026999 seconds (0.043 Gnz/s, 0.171 Gflop/s, 1.3 to 1.9 GB/s)
gemv: 0.027221 seconds (0.042 Gnz/s, 0.170 Gflop/s, 1.3 to 1.9 GB/s)
gemv: 0.027306 seconds (0.042 Gnz/s, 0.169 Gflop/s, 1.3 to 1.9 GB/s)
gemv: 0.027155 seconds (0.043 Gnz/s, 0.170 Gflop/s, 1.3 to 1.9 GB/s)
gemv: 0.027195 seconds (0.043 Gnz/s, 0.170 Gflop/s, 1.3 to 1.9 GB/s)
gemv: 0.027278 seconds (0.042 Gnz/s, 0.170 Gflop/s, 1.3 to 1.9 GB/s)
gemv: 0.027317 seconds (0.042 Gnz/s, 0.169 Gflop/s, 1.3 to 1.9 GB/s)
gemv: 0.027156 seconds (0.043 Gnz/s, 0.170 Gflop/s, 1.3 to 1.9 GB/s)
gemv: 0.026984 seconds (0.043 Gnz/s, 0.171 Gflop/s, 1.3 to 1.9 GB/s)
gemv: 0.027314 seconds (0.042 Gnz/s, 0.169 Gflop/s, 1.3 to 1.9 GB/s)
gemv: 0.027083 seconds (0.043 Gnz/s, 0.171 Gflop/s, 1.3 to 1.9 GB/s)
gemv: 0.027200 seconds (0.043 Gnz/s, 0.170 Gflop/s, 1.3 to 1.9 GB/s)
gemv: 0.027227 seconds (0.042 Gnz/s, 0.170 Gflop/s, 1.3 to 1.9 GB/s)
gemv: 0.027302 seconds (0.042 Gnz/s, 0.169 Gflop/s, 1.3 to 1.9 GB/s)
gemv: 0.027052 seconds (0.043 Gnz/s, 0.171 Gflop/s, 1.3 to 1.9 GB/s)
gemv: 0.027203 seconds (0.043 Gnz/s, 0.170 Gflop/s, 1.3 to 1.9 GB/s)
gemv: 0.027365 seconds (0.042 Gnz/s, 0.169 Gflop/s, 1.2 to 1.8 GB/s)
gemv: 0.027388 seconds (0.042 Gnz/s, 0.169 Gflop/s, 1.2 to 1.8 GB/s)
gemv: 0.027179 seconds (0.043 Gnz/s, 0.170 Gflop/s, 1.3 to 1.9 GB/s)
gemv: 0.027163 seconds (0.043 Gnz/s, 0.170 Gflop/s, 1.3 to 1.9 GB/s)
gemv: 0.027392 seconds (0.042 Gnz/s, 0.169 Gflop/s, 1.2 to 1.8 GB/s)
gemv: 0.027410 seconds (0.042 Gnz/s, 0.169 Gflop/s, 1.2 to 1.8 GB/s)
gemv: 0.027267 seconds (0.042 Gnz/s, 0.170 Gflop/s, 1.3 to 1.9 GB/s)
gemv: 0.027330 seconds (0.042 Gnz/s, 0.169 Gflop/s, 1.3 to 1.9 GB/s)
gemv: 0.027271 seconds (0.042 Gnz/s, 0.170 Gflop/s, 1.3 to 1.9 GB/s)
gemv: 0.027393 seconds (0.042 Gnz/s, 0.169 Gflop/s, 1.2 to 1.8 GB/s)
gemv: 0.027073 seconds (0.043 Gnz/s, 0.171 Gflop/s, 1.3 to 1.9 GB/s)
gemv: 0.027319 seconds (0.042 Gnz/s, 0.169 Gflop/s, 1.3 to 1.9 GB/s)
gemv: 0.027367 seconds (0.042 Gnz/s, 0.169 Gflop/s, 1.2 to 1.8 GB/s)
gemv: 0.027367 seconds (0.042 Gnz/s, 0.169 Gflop/s, 1.2 to 1.8 GB/s)
gemv: 0.027156 seconds (0.043 Gnz/s, 0.170 Gflop/s, 1.3 to 1.9 GB/s)
gemv: 0.027330 seconds (0.042 Gnz/s, 0.169 Gflop/s, 1.3 to 1.9 GB/s)
gemv: 0.027443 seconds (0.042 Gnz/s, 0.169 Gflop/s, 1.2 to 1.8 GB/s)
gemv: 0.027505 seconds (0.042 Gnz/s, 0.168 Gflop/s, 1.2 to 1.8 GB/s)
gemv: 0.027396 seconds (0.042 Gnz/s, 0.169 Gflop/s, 1.2 to 1.8 GB/s)
gemv: 0.027423 seconds (0.042 Gnz/s, 0.169 Gflop/s, 1.2 to 1.8 GB/s)
gemv: 0.027559 seconds (0.042 Gnz/s, 0.168 Gflop/s, 1.2 to 1.8 GB/s)
gemv: 0.027517 seconds (0.042 Gnz/s, 0.168 Gflop/s, 1.2 to 1.8 GB/s)
gemv: 0.027251 seconds (0.042 Gnz/s, 0.170 Gflop/s, 1.3 to 1.9 GB/s)
gemv: 0.027414 seconds (0.042 Gnz/s, 0.169 Gflop/s, 1.2 to 1.8 GB/s)
gemv: 0.027537 seconds (0.042 Gnz/s, 0.168 Gflop/s, 1.2 to 1.8 GB/s)
gemv: 0.027581 seconds (0.042 Gnz/s, 0.168 Gflop/s, 1.2 to 1.8 GB/s)
gemv: 0.027322 seconds (0.042 Gnz/s, 0.169 Gflop/s, 1.3 to 1.9 GB/s)
gemv: 0.027414 seconds (0.042 Gnz/s, 0.169 Gflop/s, 1.2 to 1.8 GB/s)
gemv: 0.027441 seconds (0.042 Gnz/s, 0.169 Gflop/s, 1.2 to 1.8 GB/s)
gemv: 0.027487 seconds (0.042 Gnz/s, 0.168 Gflop/s, 1.2 to 1.8 GB/s)
gemv: 0.027369 seconds (0.042 Gnz/s, 0.169 Gflop/s, 1.2 to 1.8 GB/s)
gemv: 0.027350 seconds (0.042 Gnz/s, 0.169 Gflop/s, 1.3 to 1.8 GB/s)
gemv: 0.027482 seconds (0.042 Gnz/s, 0.168 Gflop/s, 1.2 to 1.8 GB/s)
gemv: 0.027347 seconds (0.042 Gnz/s, 0.169 Gflop/s, 1.3 to 1.8 GB/s)
